Time,Pid,cpu-time,total-cpu,tickets,total-tickets,queue
0,1,51,505,1,100,low
0,2,65,505,1,100,low
0,3,378,505,1,100,low
0,7,9,505,10,100,low
0,8,1,505,30,100,low
0,9,1,505,57,100,low
10,1,51,1412,1,100,low
10,2,65,1412,1,100,low
10,3,404,1412,1,100,low
10,7,169,1412,10,100,low
10,8,331,1412,30,100,low
10,9,392,1412,57,100,low
20,1,51,3941,1,100,low
20,2,65,3941,1,100,low
20,3,436,3941,1,100,low
20,7,593,3941,10,100,low
20,8,1283,3941,30,100,low
20,9,1513,3941,57,100,low
30,1,51,5652,1,100,low
30,2,65,5652,1,100,low
30,3,464,5652,1,100,low
30,7,839,5652,10,100,low
30,8,1959,5652,30,100,low
30,9,2274,5652,57,100,low
40,1,51,7670,1,100,low
40,2,65,7670,1,100,low
40,3,491,7670,1,100,low
40,7,1223,7670,10,100,low
40,8,2695,7670,30,100,low
40,9,3145,7670,57,100,low
50,1,51,9390,1,100,low
50,2,65,9390,1,100,low
50,3,521,9390,1,100,low
50,7,1483,9390,10,100,low
50,8,3377,9390,30,100,low
50,9,3893,9390,57,100,low
60,1,51,11928,1,100,low
60,2,65,11928,1,100,low
60,3,549,11928,1,100,low
60,7,1861,11928,10,100,low
60,8,4387,11928,30,100,low
60,9,5015,11928,57,100,low
70,1,51,13543,1,100,low
70,2,65,13543,1,100,low
70,3,576,13543,1,100,low
70,7,2143,13543,10,100,low
70,8,4987,13543,30,100,low
70,9,5721,13543,57,100,low
80,1,51,15587,1,100,low
80,2,65,15587,1,100,low
80,3,607,15587,1,100,low
80,7,2470,15587,10,100,low
80,8,5777,15587,30,100,low
80,9,6617,15587,57,100,low
90,1,51,17002,1,100,low
90,2,65,17002,1,100,low
90,3,633,17002,1,100,low
90,7,2705,17002,10,100,low
90,8,6319,17002,30,100,low
90,9,7229,17002,57,100,low
100,1,51,18161,1,100,low
100,2,65,18161,1,100,low
100,3,660,18161,1,100,low
100,7,2897,18161,10,100,low
100,8,6761,18161,30,100,low
100,9,7727,18161,57,100,low
